|wavelength|                  flux|
|    double|                double|
|    micron|erg / (Angstrom cm2 s)|
|      null|                  null|
     0.0805      2.91125425657e-17 
     0.0815      3.05136210514e-17 
     0.0825      3.22549746131e-17 
     0.0835      2.78810781295e-17 
     0.0845      3.43970440661e-17 
     0.0855      3.52624880142e-17 
     0.0865      3.76740752546e-17 
     0.0875      3.92704298437e-17 
     0.0885      4.08249428663e-17 
     0.0895      4.24204063974e-17 
     0.0905      4.31486375623e-17 
     0.0915      4.46842956753e-17 
     0.0925      1.17977263599e-16 
     0.0935      2.04135845681e-16 
     0.0945      3.16501660771e-16 
     0.0955      4.03361862206e-16 
     0.0965      4.64461571086e-16 
     0.0975      1.56600038205e-16 
     0.0985      4.27273351614e-16 
     0.0995       4.2977855482e-16 
     0.1005      5.61052686699e-16 
     0.1015      5.54183649196e-16 
     0.1025      3.14798842294e-16 
     0.1035      4.66986569976e-16 
     0.1045      7.31968752463e-16 
     0.1055      7.30789320076e-16 
     0.1065      6.26089307726e-16 
     0.1075      7.16436756506e-16 
     0.1085      6.17613249519e-16 
     0.1095      7.60387914436e-16 
     0.1105      7.49045026928e-16 
     0.1115      7.44592913748e-16 
     0.1125      6.86707292812e-16 
     0.1135       8.2409854345e-16 
     0.1145      7.78742832395e-16 
     0.1155      8.14216435783e-16 
     0.1165      8.37365859603e-16 
     0.1175      6.21436943081e-16 
     0.1185      8.21173873131e-16 
     0.1195      6.46861866374e-16 
     0.1205       5.3824477286e-16 
     0.1215       3.8241120585e-16 
     0.1225      6.38492062556e-16 
     0.1235      8.65364971214e-16 
     0.1245      9.44771036497e-16 
     0.1255       9.3270967618e-16 
     0.1265      8.54480928485e-16 
     0.1275      1.03676661433e-15 
     0.1285      1.08484769171e-15 
     0.1295      9.36636792383e-16 
     0.1305      9.33617447001e-16 
     0.1315      1.10290240259e-15 
     0.1325      1.07688164248e-15 
     0.1335      1.00320235119e-15 
     0.1345      1.13435934724e-15 
     0.1355      1.11600005391e-15 
     0.1365      1.03965741489e-15 
     0.1375      1.07942428688e-15 
     0.1385      1.09691316108e-15 
     0.1395      9.44239158157e-16 
     0.1405      9.59323917298e-16 
     0.1415      1.06589204716e-15 
     0.1425      1.07497244526e-15 
     0.1435      1.09414476075e-15 
     0.1442      1.13959835131e-15 
     0.1447      1.15558200204e-15 
     0.1455      1.13423219669e-15 
     0.1465      1.08194503144e-15 
     0.1475      1.08905027833e-15 
     0.1485      1.11277466195e-15 
     0.1495      1.12935261199e-15 
     0.1505      1.09410478818e-15 
     0.1512      1.01311173206e-15 
     0.1517      1.06621685732e-15 
     0.1525      1.04610426525e-15 
     0.1535      9.36259151485e-16 
     0.1545      9.60810384094e-16 
     0.1555      9.35846402231e-16 
     0.1565      9.87836783641e-16 
     0.1575      1.05039453527e-15 
     0.1585      1.09347349036e-15 
     0.1595      1.11891241405e-15 
     0.1605      1.09729290845e-15 
     0.1615      1.10184585103e-15 
     0.1625      1.07506656562e-15 
     0.1635      1.13189556616e-15 
     0.1645      1.14582878074e-15 
     0.1655      1.10369006897e-15 
     0.1665      1.17592811128e-15 
     0.1672      1.08324815221e-15 
     0.1677      1.19803409885e-15 
     0.1685      1.22792812971e-15 
     0.1695      1.18236867327e-15 
     0.1705      1.15403840091e-15 
     0.1715      1.11070064979e-15 
     0.1725      1.10757943063e-15 
     0.1735      1.17174118898e-15 
     0.1745      1.15877129194e-15 
     0.1755      1.21359838056e-15 
     0.1765      1.15262172367e-15 
     0.1775      1.17179421823e-15 
     0.1785      1.19753345806e-15 
     0.1795      1.24835908714e-15 
     0.1805      1.25282490402e-15 
     0.1815      1.18678642585e-15 
     0.1825      1.21188933922e-15 
     0.1835      1.18917978776e-15 
     0.1845       1.1211325926e-15 
     0.1855       1.1307096007e-15 
     0.1865      1.15868905959e-15 
     0.1875      1.22860610156e-15 
     0.1885      1.15422665627e-15 
     0.1895      1.11901990914e-15 
     0.1905      1.18461142795e-15 
     0.1915      1.15206924402e-15 
     0.1925      1.13243194449e-15 
     0.1935      1.18371878019e-15 
     0.1945      1.21987254292e-15 
     0.1955      1.15117419688e-15 
     0.1967       1.2404959478e-15 
     0.1976       1.2784060525e-15 
     0.1984      1.22496740964e-15 
     0.1995      1.20314855874e-15 
     0.2005      1.24187457309e-15 
     0.2015      1.22091911782e-15 
     0.2025      1.27128123683e-15 
     0.2035      1.21557588213e-15 
     0.2045      1.24766267037e-15 
     0.2055      1.16249229048e-15 
     0.2065      1.20134017826e-15 
     0.2074      1.29364576936e-15 
     0.2078      1.23635263204e-15 
     0.2085      1.27435378753e-15 
     0.2095      1.22623945077e-15 
     0.2105      1.25048328731e-15 
     0.2115      1.26527939841e-15 
     0.2125      1.28349482456e-15 
     0.2135      1.23498934083e-15 
     0.2145      1.24574733997e-15 
     0.2155       1.2875009042e-15 
     0.2165        1.262849221e-15 
     0.2175      1.26315280153e-15 
     0.2185      1.24582664712e-15 
     0.2195      1.29306163622e-15 
     0.2205      1.27374079951e-15 
     0.2215      1.24038654503e-15 
     0.2225      1.21775526722e-15 
     0.2235      1.26686796957e-15 
     0.2245      1.23729552943e-15 
     0.2255      1.21242588721e-15 
     0.2265      1.23732258932e-15 
     0.2275      1.25998163774e-15 
     0.2285      1.27641871579e-15 
     0.2295      1.22546167846e-15 
     0.2305      1.23281341425e-15 
     0.2315      1.20595469657e-15 
     0.2325      1.04326478091e-15 
     0.2335      1.17198028241e-15 
     0.2345      1.15890508381e-15 
     0.2355       1.2020401565e-15 
     0.2365      1.15829930406e-15 
     0.2375      1.17362449237e-15 
     0.2385      1.12877152827e-15 
     0.2395      1.17889235083e-15 
     0.2405      1.15131258819e-15 
     0.2415      1.16688081301e-15 
     0.2425      1.19899616197e-15 
     0.2435      1.16681818813e-15 
     0.2445      1.20926784787e-15 
     0.2455       1.1973657623e-15 
     0.2465      1.19627254645e-15 
     0.2475      1.17503567249e-15 
     0.2485      1.20328138401e-15 
     0.2495      1.10998738874e-15 
     0.2505      1.22288267012e-15 
     0.2513      1.15429733824e-15 
     0.2518      1.19392003035e-15 
     0.2525      1.16365973773e-15 
     0.2535      1.16970231634e-15 
     0.2545      1.15587927861e-15 
     0.2555      1.19581864049e-15 
     0.2565      1.18874624192e-15 
     0.2575      1.22709054197e-15 
     0.2585       1.2243101212e-15 
     0.2595      1.21996955158e-15 
     0.2605      1.19908919243e-15 
     0.2615      1.19484370388e-15 
     0.2625      1.21619294902e-15 
     0.2635       1.2259253772e-15 
     0.2645      1.27395554221e-15 
     0.2655      1.27527837582e-15 
     0.2665      1.22700924734e-15 
     0.2675      1.25430856171e-15 
     0.2685      1.25441109761e-15 
     0.2695      1.22834487486e-15 
     0.2705      1.24180973933e-15 
     0.2715       1.2188184391e-15 
     0.2725      1.22256871166e-15 
     0.2735      1.25182424105e-15 
     0.2745      1.18196898504e-15 
     0.2755      1.18850877016e-15 
     0.2765      1.20852225226e-15 
     0.2775      1.24120975467e-15 
     0.2785      1.22746851535e-15 
     0.2795      1.10553180302e-15 
     0.2805      1.15618717019e-15 
     0.2815      1.24902338121e-15 
     0.2825      1.25678905644e-15 
     0.2835      1.22432802147e-15 
     0.2845      1.21723179118e-15 
     0.2855      1.21319593637e-15 
     0.2865       1.2487969547e-15 
     0.2875      1.23906081347e-15 
     0.2885      1.24626242274e-15 
     0.2895      1.23903688217e-15 
      0.291      1.27693349739e-15 
      0.293      1.26122146352e-15 
      0.295      1.25368617055e-15 
      0.297       1.2626857516e-15 
      0.299      1.26329172848e-15 
      0.301      1.27070264468e-15 
      0.303       1.2730284966e-15 
      0.305      1.27153245474e-15 
      0.307      1.26934413711e-15 
      0.309      1.27223933435e-15 
      0.311      1.26859304223e-15 
      0.313      1.26312352609e-15 
      0.315      1.26831759532e-15 
      0.317      1.26516963386e-15 
      0.319       1.2418590977e-15 
      0.321      1.25861556216e-15 
      0.323      1.24748593213e-15 
      0.325        1.262743326e-15 
      0.327      1.27084081427e-15 
      0.329      1.27045899434e-15 
      0.331      1.27196071129e-15 
     0.3322      1.29171761948e-15 
     0.3323        1.299684133e-15 
     0.3324      1.30399126414e-15 
     0.3325      1.30418324855e-15 
     0.3326      1.30297861918e-15 
     0.3327      1.29735237497e-15 
     0.3328       1.2902433909e-15 
     0.3329       1.2903324822e-15 
      0.333      1.29577894957e-15 
     0.3331      1.30445314626e-15 
     0.3332      1.30731791782e-15 
     0.3333      1.29995327034e-15 
     0.3334      1.28284788525e-15 
     0.3335      1.26237683068e-15 
     0.3336      1.24883283734e-15 
     0.3337      1.24924420915e-15 
     0.3338      1.25843041939e-15 
     0.3339      1.26434132345e-15 
      0.334      1.26201545793e-15 
     0.3341      1.26381575706e-15 
     0.3342      1.27113320315e-15 
     0.3343      1.28517602085e-15 
     0.3344      1.29821466216e-15 
     0.3345      1.30868240623e-15 
     0.3346      1.31407674451e-15 
     0.3347      1.31627241521e-15 
     0.3348      1.30189338903e-15 
     0.3349      1.28746659715e-15 
      0.335      1.26450877795e-15 
     0.3351      1.24973814827e-15 
     0.3352      1.25556892388e-15 
     0.3353      1.26348379352e-15 
     0.3354       1.2604653053e-15 
     0.3355      1.25497618971e-15 
     0.3356      1.25739339265e-15 
     0.3357      1.26117129512e-15 
     0.3358      1.26139332536e-15 
     0.3359      1.25319882207e-15 
      0.336      1.24296755144e-15 
     0.3361      1.23613527161e-15 
     0.3362      1.24492573214e-15 
     0.3363      1.25835083224e-15 
     0.3364      1.26695262505e-15 
     0.3365      1.26467061844e-15 
     0.3366      1.24928580386e-15 
     0.3367       1.2325154413e-15 
     0.3368      1.22492236306e-15 
     0.3369      1.22864330569e-15 
      0.337      1.23836602937e-15 
     0.3371       1.2342044581e-15 
